CSEStotal,NEP,Identity,Age,CCpercent,LibCon
3.875,5,Millennial,33,70,2
3.5,3.909090909,Conservative,35,50,5
3.5,4.727272727,"Generation X (""Gen-X"")",,28,2
7,6.090909091,Liberal,58,80,2
2.5,3.454545455,"Generation Z (""Gen-Z"")",23,100,5
4.125,4.363636364,Conservative,52,36,10
4.625,4.454545455,"Generation Z (""Gen-Z"")",34,100,9
2.5,5.818181818,"Generation X (""Gen-X"")",51,86,2
4.75,4.727272727,Baby Boomer,72,75,4
2.875,5.090909091,Conservative,27,75,5
6.125,3.090909091,Conservative,42,15,8
5.75,5.181818182,"Generation X (""Gen-X"")",52,100,8
5.875,4.545454545,Conservative,33,20,8
3.375,3.363636364,Baby Boomer,58,0,5
6,5.090909091,Liberal,66,90,1
6,3.181818182,Conservative,37,15,8
3.5,5.272727273,Millennial,40,50,5
5.625,3.909090909,"Generation X (""Gen-X"")",51,21,5
3.875,3.818181818,Millennial,33,60,3
6,5.545454545,Liberal,34,90,3
5.125,4.909090909,Baby Boomer,61,15,3
6,4.909090909,Liberal,44,80,3
4,3.636363636,"Generation X (""Gen-X"")",53,50,8
2.125,4.909090909,"Generation X (""Gen-X"")",52,55,4
3.875,4.363636364,Millennial,33,50,5
6.375,5.181818182,Liberal,35,85,1
4.875,5.636363636,Liberal,33,95,2
7,5.909090909,Liberal,23,80,0
5.25,4.363636364,"Generation X (""Gen-X"")",57,60,2
6,5.454545455,Liberal,55,95,1
5,5.090909091,Conservative,28,56,6
5.625,4,Baby Boomer,69,40,9
3.625,5,"Generation X (""Gen-X"")",47,70,6
2.375,4.090909091,"Generation X (""Gen-X"")",53,29,1
6.375,5.454545455,Liberal,58,91,1
5.25,5.363636364,Millennial,32,75,1
5.125,6.090909091,Baby Boomer,61,95,1
3.75,6.363636364,Liberal,34,92,3
4.5,4,Liberal,37,71,5
6.25,3.727272727,Baby Boomer,64,20,10
5,4,"Generation X (""Gen-X"")",44,92,3
3.25,4.272727273,Millennial,40,40,4
4.5,3.181818182,Conservative,60,35,8
5.25,4.363636364,Baby Boomer,76,13,8
4.125,4.545454545,"Generation X (""Gen-X"")",46,75,3
6.5,6.454545455,Millennial,37,99,0
3,5.545454545,Conservative,67,60,5
3.75,4.545454545,Millennial,27,70,0
5.5,3.181818182,Conservative,40,0,9
5.375,3.454545455,Conservative,51,19,6
2.875,5.636363636,"Generation X (""Gen-X"")",47,91,5
5,5.090909091,"Generation X (""Gen-X"")",43,95,4
3.125,4.545454545,Liberal,46,72,4
4.875,5.727272727,Millennial,31,100,0
6.125,3.727272727,"Generation X (""Gen-X"")",51,60,6
4.125,2.363636364,Conservative,46,34,8
5.5,4.363636364,Baby Boomer,60,20,7
4,5.181818182,Conservative,46,85,6
3.875,4,Liberal,34,59,4
4.5,4.454545455,Liberal,27,61,0
4.375,3.818181818,Liberal,27,69,3
6.75,5.818181818,Liberal,33,92,1
4.125,4,Liberal,32,50,5
6,4.818181818,"Generation Z (""Gen-Z"")",60,95,2
4.375,4.727272727,Liberal,50,94,7
4,4.454545455,Liberal,39,61,3
5,4.727272727,Liberal,24,79,3
5.625,5.454545455,Liberal,37,90,2
6.75,5,"Generation X (""Gen-X"")",42,60,4
3.375,5,Liberal,48,75,5
7,5.090909091,Liberal,33,71,0
5.5,6.454545455,Liberal,57,100,5
5.375,5.636363636,Baby Boomer,60,90,2
4.25,4.727272727,"Generation X (""Gen-X"")",42,64,4
4.875,4.545454545,Liberal,38,73,2
6.25,5.909090909,"Generation X (""Gen-X"")",47,71,7
6.125,6.181818182,Liberal,48,80,5
3.5,5.454545455,"Generation X (""Gen-X"")",52,60,10
6.375,5,"Generation X (""Gen-X"")",43,88,5
4.375,4.818181818,"Generation Z (""Gen-Z"")",49,77,10
3.625,3.818181818,Baby Boomer,69,20,6
5.75,4.727272727,Liberal,23,59,0
3.375,5,Liberal,35,51,3
6.125,5,Liberal,32,83,2
2.875,2.727272727,Millennial,30,0,7
3,5.727272727,Millennial,38,90,1
4.375,3.272727273,"Generation X (""Gen-X"")",,95,9
5.625,5.727272727,Conservative,60,75,8
4.75,3,Baby Boomer,66,9,9
5,4.909090909,Liberal,44,100,0
3.125,4.636363636,"Generation X (""Gen-X"")",45,70,5
4.375,4.363636364,"Generation Z (""Gen-Z"")",25,100,9
3.75,4,"Generation X (""Gen-X"")",51,45,1
5.75,4.090909091,Liberal,57,35,4
3.25,5,Conservative,33,72,5
4.375,2.818181818,Conservative,52,1,10
6.5,5,"Generation X (""Gen-X"")",47,45,10
6,5.636363636,Liberal,72,95,0
6.5,3.363636364,Baby Boomer,59,7,9
4.75,2.909090909,Conservative,41,10,6
4.625,4.636363636,Liberal,45,64,0
4.375,3.545454545,Conservative,63,5,10
4.25,4.090909091,Conservative,25,41,9
4.875,5.090909091,"Generation X (""Gen-X"")",39,70,8
4.625,4.090909091,"Generation X (""Gen-X"")",41,27,0
3.375,3.272727273,Baby Boomer,70,0,8
4,5.272727273,Conservative,52,75,8
5.5,3.818181818,Liberal,55,91,2
3.25,4.090909091,Millennial,40,29,9
2.875,4.454545455,Millennial,38,25,7
6.25,5.090909091,"Generation Z (""Gen-Z"")",23,100,0
4.25,5.181818182,"Generation Z (""Gen-Z"")",25,50,0
4.75,4.545454545,Liberal,34,75,5
5,5.818181818,"Generation Z (""Gen-Z"")",24,60,3
6,4.545454545,Liberal,53,91,1
5,6.454545455,Liberal,43,90,4
5.5,6.090909091,Liberal,53,85,0
3.25,4.909090909,Millennial,30,91,5
6.75,4.727272727,Liberal,40,100,0
3,4.636363636,Millennial,34,55,5
5.75,5.272727273,Millennial,37,100,4
4.375,4.454545455,Millennial,30,,2
5,5.818181818,Liberal,60,80,3
3.25,5.818181818,"Generation X (""Gen-X"")",52,90,3
5.125,2.818181818,"Generation X (""Gen-X"")",42,3,10
1.875,5.454545455,"Generation Z (""Gen-Z"")",42,100,1
5.875,4.181818182,Conservative,58,9,9
2.125,6,"Generation Z (""Gen-Z"")",24,100,0
3.75,6,Millennial,38,90,3
7,3.363636364,"Generation X (""Gen-X"")",55,50,9
2.875,3.181818182,"Generation X (""Gen-X"")",52,50,8
6,5.909090909,Liberal,42,85,4
4.625,4.727272727,Conservative,20,69,7
3.125,4.909090909,Liberal,25,99,3
3.25,4,Liberal,32,70,5
6,4.727272727,Liberal,54,95,1
6.125,5.454545455,Liberal,50,95,4
4.25,4.090909091,"Generation Z (""Gen-Z"")",41,60,8
6,5.090909091,Liberal,56,92,1
4.625,5.818181818,Millennial,31,90,0
5.625,6,Millennial,25,75,5
5.875,5.636363636,Conservative,45,75,7
2.5,4.636363636,Conservative,44,80,5
4.375,5.909090909,Liberal,26,70,0
4,4.727272727,Liberal,50,87,5
5,5.090909091,"Generation X (""Gen-X"")",52,55,8
5.25,5.090909091,Liberal,28,20,2
3.375,5.363636364,"Generation X (""Gen-X"")",53,100,2
4.625,5.636363636,Millennial,41,76,0
4.625,4.909090909,"Generation X (""Gen-X"")",42,100,3
4,5.090909091,Baby Boomer,58,80,3
5.875,5.181818182,"Generation Z (""Gen-Z"")",24,89,3
4.125,3.727272727,Conservative,29,71,8
4,3.727272727,Millennial,31,72,10
4.375,5,Liberal,33,95,1
3.875,4.545454545,Millennial,31,81,3
3.375,4.727272727,Conservative,31,90,6
5.625,4.272727273,Liberal,23,65,1
2.875,6.090909091,Liberal,31,88,0
4.25,4,"Generation X (""Gen-X"")",47,61,5
7,6.090909091,Liberal,41,90,1
6,5.727272727,Liberal,30,71,1
4.125,5.636363636,Baby Boomer,68,100,2
5.25,5.272727273,Millennial,24,80,2
5.875,4.090909091,Conservative,30,36,8
3.25,4.545454545,Millennial,39,35,5
3.875,4.727272727,Conservative,28,77,6
5.5,5,Liberal,57,98,0
3.25,4.090909091,Millennial,36,92,5
4.875,4,"Generation Z (""Gen-Z"")",32,80,5
5.625,4.272727273,Liberal,41,83,1
4.5,4.727272727,Conservative,59,18,5
2.5,6.454545455,Liberal,44,100,5
3.75,6.090909091,Millennial,35,90,0
3.375,NA,Millennial,33,72,4
4.75,5.090909091,Liberal,33,79,0
3.125,5.636363636,Millennial,31,80,4
5.5,3.090909091,"Generation X (""Gen-X"")",45,24,6
5.125,5.363636364,Conservative,56,90,5
6.25,5.636363636,Liberal,28,81,4
6.375,2.454545455,Millennial,47,40,10
3.5,5.090909091,"Generation X (""Gen-X"")",46,75,6
5.5,5.181818182,Millennial,28,82,1
5,NA,Conservative,37,30,8
5.75,2.818181818,Conservative,40,4,6
2.5,2.818181818,"Generation X (""Gen-X"")",31,10,9
5.375,5.818181818,Liberal,20,63,2
3,3.363636364,Millennial,40,70,5
7,5.909090909,Liberal,67,91,1
6.125,5.363636364,Liberal,33,82,0
6.875,3.181818182,Conservative,44,100,10
3.25,5.545454545,Millennial,34,99,4
6.375,5.272727273,Liberal,59,91,1
2.875,6.454545455,Millennial,27,90,0
6.375,3.363636364,Conservative,56,8,7
4.375,6.454545455,Baby Boomer,57,85,3
5.5,3.545454545,Liberal,43,50,2
5.75,6.363636364,Liberal,35,100,2
4.25,3.818181818,"Generation X (""Gen-X"")",29,76,0
1.75,6.090909091,Millennial,32,90,6
4,4,Millennial,30,100,5
5.5,6.181818182,Baby Boomer,70,92,1
5.125,5,Liberal,35,91,1
6.5,3.272727273,Conservative,33,24,10
4.875,2.545454545,"Generation X (""Gen-X"")",44,1,10
3.625,5.636363636,"Generation X (""Gen-X"")",54,99,1
4.875,4.545454545,Liberal,55,60,5
7,4.272727273,Conservative,67,27,10
5.25,4,Liberal,28,80,5
3.875,5.272727273,Millennial,35,100,0
3,5.636363636,"Generation X (""Gen-X"")",45,100,2
6.125,5.272727273,Liberal,27,73,0
2.5,5.818181818,Liberal,32,75,5
2.875,3.727272727,"Generation X (""Gen-X"")",41,5,9
6.625,5.545454545,Liberal,43,90,2
4.875,6.454545455,Liberal,50,100,2
3.875,4.818181818,Millennial,30,75,8
5.25,5.181818182,Liberal,28,70,5
3.625,5.818181818,Liberal,27,95,3
5.875,4.727272727,Millennial,40,15,4
4,6.181818182,Millennial,41,100,0
2.875,4.454545455,Liberal,30,60,3
4.625,4.454545455,"Generation X (""Gen-X"")",55,8,4
4.25,3.909090909,"Generation X (""Gen-X"")",37,2,5
3.625,NA,Millennial,26,39,5
5.5,4.818181818,"Generation X (""Gen-X"")",40,100,2
5,5.818181818,"Generation X (""Gen-X"")",54,100,2
5.125,3.272727273,Liberal,35,72,5
5.875,6.090909091,Liberal,37,82,2
6,5.727272727,Liberal,35,95,0
5.875,3.636363636,Liberal,30,100,2
1.125,2.454545455,Millennial,30,10,9
4.5,4.636363636,Millennial,35,70,0
2.875,4.545454545,Millennial,26,90,3
3.125,4.363636364,Liberal,48,60,4
5.875,4.545454545,Millennial,30,20,2
5.25,5,Conservative,39,85,5
3.625,5.363636364,Millennial,29,100,0
5.5,3.636363636,Conservative,42,30,6
2,6.454545455,Liberal,29,57,0
6.375,5.727272727,Liberal,26,100,2
4.375,5.181818182,Millennial,36,62,2
4.625,6.272727273,"Generation X (""Gen-X"")",54,100,0
4.25,4.454545455,"Generation Z (""Gen-Z"")",23,86,0
3.5,4.818181818,"Generation X (""Gen-X"")",41,5,8
5.625,3.454545455,Conservative,41,5,9
3.25,6.454545455,Baby Boomer,60,100,0
4.5,4.727272727,"Generation X (""Gen-X"")",52,50,6
3.5,6,Liberal,30,75,3
6.25,5.636363636,Millennial,31,65,7
5.5,4.272727273,Liberal,28,77,4
4,3.545454545,"Generation X (""Gen-X"")",40,77,4
6.125,2.454545455,Conservative,58,1,8
NA,2,Conservative,72,1,8
NA,NA,"Generation Z (""Gen-Z"")",22,,4
NA,NA,Liberal,44,,3
NA,NA,Conservative,66,,8
NA,NA,Conservative,42,,6
NA,NA,Conservative,38,,7
4.125,4.636363636,"Generation X (""Gen-X"")",41,9,10
NA,NA,"Generation X (""Gen-X"")",52,,4
NA,NA,Baby Boomer,66,,8
NA,NA,Conservative,65,,7
NA,NA,Liberal,48,,5
NA,NA,Liberal,67,,2
NA,NA,"Generation X (""Gen-X"")",49,,5
NA,NA,"Generation X (""Gen-X"")",53,,8
NA,NA,Baby Boomer,65,,8
NA,NA,Conservative,38,,5
NA,NA,"Generation X (""Gen-X"")",52,,9
NA,NA,Conservative,26,,7
NA,NA,Liberal,41,,0
NA,NA,Conservative,51,,5
NA,NA,Liberal,40,,0
NA,NA,Liberal,54,,2
NA,NA,"Generation X (""Gen-X"")",45,,5
NA,NA,Conservative,63,,9
NA,NA,Millennial,38,,4
NA,NA,Conservative,26,,6
NA,NA,Conservative,67,,9
NA,NA,Liberal,36,,0
NA,NA,Millennial,32,,0
NA,NA,Liberal,30,,5
NA,NA,Millennial,32,,0
NA,NA,"Generation X (""Gen-X"")",45,,9
NA,NA,Baby Boomer,62,,0
NA,NA,Liberal,57,,5
NA,NA,Conservative,28,,6
NA,NA,Liberal,35,,2
NA,NA,"Generation X (""Gen-X"")",51,,2
NA,NA,"Generation X (""Gen-X"")",48,,1
NA,NA,Liberal,46,,0
NA,NA,Millennial,31,,5
NA,NA,Millennial,34,,0
NA,NA,Liberal,56,,5
NA,NA,Baby Boomer,64,,6
NA,NA,Liberal,39,,0
NA,NA,"Generation X (""Gen-X"")",46,,6
4.375,5,Liberal,40,100,4
NA,NA,Conservative,32,,9
NA,NA,Liberal,63,,3
NA,NA,Millennial,39,,1
NA,NA,Liberal,38,,1
NA,NA,"Generation X (""Gen-X"")",56,,0
NA,NA,Liberal,38,,2
NA,NA,Liberal,36,,2
NA,NA,Millennial,34,,7
NA,NA,Conservative,25,,5
NA,NA,,57,,2
NA,NA,Conservative,35,,7
NA,NA,"Generation X (""Gen-X"")",46,,2
NA,NA,Millennial,30,,8
NA,NA,Millennial,35,,1
3.125,4.545454545,Baby Boomer,50,50,6
NA,NA,Millennial,27,,3
NA,NA,Liberal,47,,1
NA,NA,Liberal,74,,3
NA,NA,Liberal,59,,1
NA,NA,Baby Boomer,69,,9
NA,NA,"Generation X (""Gen-X"")",55,,7
NA,NA,Conservative,25,,6
4.625,6,Liberal,37,97,2
NA,NA,Millennial,27,,3
NA,NA,Conservative,60,,8
NA,NA,Liberal,37,,2
NA,NA,Millennial,26,,0
NA,NA,Liberal,28,,2
NA,NA,Conservative,37,,5
NA,NA,Millennial,39,,0
NA,NA,Liberal,44,,4
NA,NA,Liberal,59,,3
NA,NA,Liberal,24,,5
NA,NA,Conservative,45,,6
NA,NA,"Generation X (""Gen-X"")",41,,5
NA,NA,Conservative,53,,8
NA,NA,,,,0
NA,NA,Conservative,50,,7
NA,NA,Liberal,43,,2
NA,NA,Baby Boomer,62,,1
NA,NA,Millennial,35,,1
NA,NA,Conservative,40,,8
NA,NA,Liberal,41,,4
NA,NA,Conservative,63,,9
NA,NA,Baby Boomer,60,,1
NA,NA,"Generation Z (""Gen-Z"")",29,,8
NA,NA,Conservative,33,,7
NA,NA,Millennial,38,,8
NA,NA,Liberal,30,,3
NA,NA,Liberal,33,,0
