Finished,Duration,RecordedDate,MTurk,Generation,Politics,WritTask1,WritTask2,CSES1,CSES2,CSES3,CSES4,CSES5,CSES6,CSES7,CSES8,SC1,SC2,SC4,SC3,SC5,SC7,SC8,SC10,SC11,NEP1,NEP11,NEP2,NEP4,NEP8,NEP10,NEP12,NEP3,NEP5,NEP9,NEP15,MWB1,MWB2,MWB4,MWB6,charity_DVNF,charity_ACLU,charity_WWF,charity_BGCA,charity_AFA,CCpercent,recall1,recall2,recall3,recall4,recall5,recall6,intent1,intent2,intent3,intent4,intent5,intent6,environmentalism,Age,Gender,Race,Education,SexualOrientation,Politics,Serious,Feedback,Identity,SC_order,NEP_order,MWB_order
TRUE,287,2/24/22 7:05,A18QKM5Z69TLS,Millennial,,"Being a millennial doesn't impact my decisions that much. I feel like I go about my day usually.  However, I feel like I make less money than prior generations",I feel as if my relationships with other people are great. I am open with others.,Strongly disagree,Somewhat agree,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Disagree,Somewhat agree,20,0,40,35,5,90,Most of the time,Most of the time,Always,Most of the time,Occassionally,Most of the time,Most of the time,Most of the time,Always,Always,Occassionally,Most of the time,I feel that environmentalism is great. We should all be concerned with our actions and how it affects our planet.,34,Female,White,Bachelor's Degree,Heterosexual,6,Yes,no,a Millennial,1,2,3
TRUE,496,2/24/22 7:06,A3CD3C99T8S6ON,Millennial,,"Being a Millennial impacts my decisions because it gives me an approximate timeline for certain key life events, such as retirement. I plan ahead so that I can keep up with others in my group in terms of finances and other long-term considerations.  I also am culturally influenced by my peers who are mostly Millennials and this influences some of my decisions.","Being a Millennial causes me to engage in social activities with other Millennials, which means my relationships are in part based upon what others are interested in.  My generational group prefers certain activities and therefore I tend to meet others who also prefer those activities.  It also impacts how well I get along with someone because I tend to feel closer to those who are similar in terms of age and interests to myself.",Agree,Disagree,Somewhat disagree,Disagree,Agree,Disagree,Agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Strongly disagree,35,0,26,15,24,65,Occassionally,Never,Most of the time,Occassionally,Never,Occassionally,Never,Never,Always,Occassionally,Occassionally,Occassionally,"I think that being a good steward of the planet is important, and part of that is taking steps to help preserve the environment for the future. However, I think much of the environmentalist movement has been taken over by political actors.  Many of the things they focus on, such as carbon emissions and taxes, aren't the most important things to consider.",32,Male,White,Doctorate (Ph.D.),Heterosexual,9,Yes,Taking the survey seriously resulted in it being severely underpaying (below the US minimum wage).  This is not very fair to us workers who try hard to provide you with thoughtful responses.,a Millennial,3,2,1
TRUE,810,2/24/22 7:06,A1UMQ35R4FM5ER,Millennial,,Being a millennial does not impact my decision making at all. I do not believe that the time you were born should affect how you live life and make decisions.,I believe being a millennial means that I will have slightly more meaningful connections and relationships with other people. The art of meaningful connection is being lost as the new generations come into the world.,Disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Agree,Disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,10,0,50,10,30,70,Occassionally,Most of the time,Most of the time,Occassionally,Occassionally,Occassionally,Occassionally,Most of the time,Most of the time,Most of the time,Occassionally,Occassionally,I believe this topic is becoming more and more important as our world continues to develop. More people need to start taking care in preserving the place we are able to call home.,22,Male,White,Bachelor's Degree,Heterosexual,7,Yes,,a Millennial,1,3,2
TRUE,451,2/24/22 7:09,AFTFOBESP6XUB,Millennial,,"Being a millennial makes no impact on any decisions that I make. I believe the generational constructs that we have obstructed each other with only provide an excuse for why people act the way that they do. I am a hardworking individual, that doesn't need material items or constant social interaction to be happy, which places me largely outside the millennial walls that have built around me. ","The types of relationships that I make are solely based on the individual and who they are, not what time period they are from. I have great friends that are much older and much younger than me, because I care for and respect the person they are and what they believe in.",Strongly disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat disagree,38,4,5,20,33,40,Most of the time,Occassionally,Always,Occassionally,Never,Occassionally,Occassionally,Occassionally,Always,Occassionally,Occassionally,Occassionally,"I feel like everything in moderation is good. I am happy to make small changes that will be easy enough to make, while also potentially contributing to a better earth. I do not need to go overboard and change my entire lifestyle for something that probably will be such a minute (if any) difference.",34,Male,White,Bachelor's Degree,Heterosexual,9,Yes,Nope,a Millennial,2,3,1
TRUE,649,2/24/22 7:09,A2BLP3G105MLH1,,Conservative,I decide how I feel about taxes as well as gun control based on being a conservative. I believe it's my right to own a gun and have there be less government.,I try to have friendships with people who are like minded to me. My friends should have a relationship with God and not support abortion.,Disagree,Agree,Neither agree nor disagree,Agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree,Neither agree nor disagree,Agree,Somewhat agree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,10,0,20,14,56,54,Most of the time,Occassionally,Never,Occassionally,Most of the time,Occassionally,Occassionally,Occassionally,Most of the time,Never,Occassionally,Occassionally,I feel like I can make a change in the world through small actions. I like to purchase products with less packaging to help the environment.,27,Female,White,Bachelor's Degree,Heterosexual,8,Yes,N/A,a conservative,2,1,3
TRUE,867,2/24/22 7:10,A2U16O0UAH4MSH,"Generation Z (""Gen-Z"")",,"Young people have become a potent influence on people of all ages and incomes, as well as on the way those people consume and relate to brands.","Gen Z, on the other hand, is said to be defined by its competitiveness. Gen Z‑ers, the backdrop of their early years included the country's first Black president and the legalization of gay marriage.",Somewhat agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Somewhat agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Agree,Strongly agree,Somewhat agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Somewhat agree,Agree,20,20,20,20,20,82,Always,Most of the time,Occassionally,Most of the time,Occassionally,Most of the time,Always,Most of the time,Always,Most of the time,Occassionally,Most of the time,"Environmentalism seeks to preserve the air and water we all depend upon; as well as conserve and protect entire ecosystems compromising of animals, plants, and humans found in different habitats throughout our planet.",40,Female,White,Bachelor's Degree,Heterosexual,10,Yes,Interesting in this survey.,a Gen-Zer,1,2,3
TRUE,704,2/24/22 7:10,A2RRK8SV0VBLTJ,,Conservative,I think being a conservative impacts the decisions I make because it causes me to think thoroughly through every choice. I don't just take what sounds good I take what will be better for me in the long run.,"Being a conservative making relationships can be very hard since we pretty much get ostracized by everyone so I basically don't tell anyone I'm a conservative even if they ask. Somehow being a conservative has been linked to being a Nazi, my generation is very sensitive.",Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Somewhat agree,Agree,Disagree,Agree,Neither agree nor disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Neither agree nor disagree,Disagree,Agree,Agree,Somewhat disagree,20,20,20,20,20,30,Never,Never,Always,Never,Never,Never,Never,Never,Always,Never,Never,Never,Environmentalism is good but at the same time the people I usually see volunteering or helping seem a little nuts. Things like not letting America have oil pipelines so we have to use a cargo ship that is way worse for the environment to ship all our oil from across the ocean seems a little dumb.,24,Male,White,High school completion,Heterosexual,9,Yes,No,a conservative,1,2,3
TRUE,647,2/24/22 7:11,A3E76V59BKGKCQ,,Conservative,Being conservative means that I tend to make more traditional decisions.  I also tend to follow the law strictly when making decisions.,Being conservative makes me agree more with other conservatives and feel closer to them in a sense.  We can agree on a lot of things which makes conversations more enjoyable to me.,Somewhat disagree,Somewhat agree,Agree,Agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Agree,Agree,Strongly agree,Somewhat agree,Somewhat agree,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Agree,Agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,22,8,29,9,32,70,Most of the time,Never,Always,Occassionally,Occassionally,Most of the time,Most of the time,Occassionally,Always,Most of the time,Most of the time,Most of the time,I think that environmentalism is very important because it affects every human on Earth in some way.  It also ensures that the future is safe and healthy for future generations and ourselves. ,23,Male,White,Some college (no degree),Heterosexual,7,Yes,,a conservative,2,1,3
TRUE,463,2/24/22 7:14,A2Z03W0OORZLU8,,Conservative,"Since being a conservative is typically about my moral issues, being a conservative means sticking with my beliefs. I am not going to be a hypocrite and call myself a conservative, but have an abortion. I am going to stick with decisions that support my moral standards. ","I am going to love all people, but I am going to gravitate towards other conservative people. I want to surround myself with people I know have good moral values, and conservatives by definition must have moral standards close to mine. ",Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat agree,Agree,Somewhat agree,Disagree,Strongly agree,Strongly agree,Somewhat disagree,41,0,0,30,29,31,Most of the time,Never,Most of the time,Never,Never,Occassionally,Most of the time,Never,Most of the time,Occassionally,Occassionally,Occassionally,I think it is important for each of us to do some actions on our part. Eating less meat in a day or week would be beneficial because the impact that animal farming has on the environment and our health. I think trying other energy sources is a good start too. ,38,Female,White,Bachelor's Degree,Heterosexual,9,Yes,,a conservative,3,2,1
TRUE,1158,2/24/22 7:15,A3RMCVCQKIYV21,,Conservative,very happened feel of experience,very honest experience,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Agree,Strongly agree,Somewhat agree,Somewhat agree,Agree,Strongly agree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Disagree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat agree,Disagree,Agree,20,20,20,20,20,82,Always,No answer,Always,Occassionally,Occassionally,No answer,Occassionally,Most of the time,Occassionally,Most of the time,Occassionally,Most of the time,"Environmentalism or environmental rights is a broad philosophy, ideology, and social movement regarding concerns for environmental protection and improvement of the health of the environment, particularly ",37,Male,Black/African-American,Master's Degree,Heterosexual,8,Yes,no,a conservative,3,1,2
TRUE,480,2/24/22 7:15,A3G3TIX6FEMN8R,Millennial,,I am dependent on my electronics. I need my phone with me wherever I go. I text and drive a lot. ,"A lot of relationships are face to face. I do not want to be glued to my phone when I'm interacting with my friends. My phone is on my lap or next to me, but I am focused on my friends. ",Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,0,0,0,100,0,0,Most of the time,Occassionally,Most of the time,Occassionally,Occassionally,Most of the time,Most of the time,Most of the time,Occassionally,Occassionally,Occassionally,Most of the time,I think it's a waste of time. I'd rather just throw something away. Other people can take care of it. ,32,Female,White,Bachelor's Degree,Heterosexual,9,Yes,No,a Millennial,3,2,1
TRUE,557,2/24/22 7:15,A2FP41BSPG0Y4A,Millennial,,I think from my childhood I always reference the outcome to advise my kids,I tend to be wary of the people I associate with,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Agree,Agree,Somewhat disagree,Agree,Somewhat disagree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,21,39,8,28,4,43,Occassionally,Occassionally,Occassionally,Occassionally,Occassionally,Occassionally,Occassionally,Never,Occassionally,Occassionally,Occassionally,Occassionally,being able to care for the environment and take actions that would preserve the ecosystem,37,Female,White,Bachelor's Degree,Heterosexual,9,Yes,,a Millennial,1,3,2
TRUE,1259,2/24/22 7:18,A1HYNGG8LZUV47,,Conservative,It makes me question and research everything. I don't trust anyone.,I always question what everyone has to say. I always feel like I need more information.,Strongly disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Strongly agree,Somewhat disagree,Somewhat disagree,,Disagree,Somewhat disagree,Somewhat disagree,Disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Disagree,Strongly agree,Agree,Disagree,9,7,6,52,26,21,Always,Occassionally,Never,Never,Never,Never,Always,Occassionally,Never,Never,Never,Never,I feel it's a waste of taxpayer dollars. I feel like whatever is going to happen is going to happen anyways.,34,Male,White,Some college (no degree),Heterosexual,10,Yes,,a conservative,3,2,1
